variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
561170,1,,,
561171,1,,,
561172,0,,,
561173,0,,,
561174,0,,,
561175,0,,,
561176,0,,,
561177,1,,,
561178,1,,,
577393,1,,,
577394,1,,,
577395,1,,,
577396,1,,,
577397,1,,,
577398,1,,,
577399,1,,,
577400,1,,,
577401,1,,,
577402,1,,,
577403,1,,,
577404,1,,,
577405,1,,,
577406,1,,,
577407,0,,,
577408,0,,,
577409,0,,,
577410,0,,,
577411,0,,,
577412,0,,,
577413,0,,,
577414,0,,,
577415,0,,,
577416,0,,,
577417,0,,,
577418,0,,,
577419,0,,,
577420,0,,,
577421,0,,,
577422,0,,,
577423,0,,,
577425,0,,,
577426,0,,,
577427,0,,,
577428,0,,,
577429,0,,,
577430,0,,,
577431,0,,,
577432,0,,,
577434,0,,,
577435,0,,,
577436,0,,,
577437,0,,,
577438,0,,,
577439,0,,,
577440,0,,,
577442,0,,,
577443,1,,,
577444,1,,,
577446,0,,,
611151,1,,,
611152,1,,,
611845,1,,,
611846,1,,,
613952,1,,,
613953,1,,,
613954,1,,,
613955,1,,,
613956,1,,,
613957,1,,,
613958,1,,,
613959,1,,,
613960,1,,,
613961,1,,,
613962,1,,,
613963,1,,,
613964,1,,,
613965,1,,,
613966,1,,,
613967,1,,,
613968,1,,,
613969,1,,,
613970,1,,,
613971,1,,,
613972,1,,,
613973,1,,,
613974,1,,,
613975,1,,,
613976,1,,,
613977,1,,,
613978,1,,,
613979,1,,,
613980,1,,,
613981,1,,,
613982,1,,,
613983,1,,,
613984,1,,,
613985,1,,,
613986,1,,,
613987,1,,,
613988,1,,,
613989,1,,,
613990,1,,,
613991,1,,,
613992,1,,,
613993,1,,,
613994,0,613953,1541,
613995,0,613952,,2819
613997,0,613953,,2820
613998,0,613952,1397,
614000,0,613955,,2820
614001,0,613954,,2819
614002,0,613954,1397,
614003,0,613955,1541,
614004,0,,,
614005,0,,,
614007,0,613957,,3545
614008,0,613956,1457,
614011,0,613957,1623,
614012,0,,,
614015,0,,,
614017,0,613956,,1396
614019,0,613957,,1454
614021,0,613958,1680,
614024,0,,,
614026,0,613958,,1680
614027,0,613959,1868,
614035,0,,,
614039,0,,,
614040,0,613961,,1595
614041,0,613960,1414,
614043,0,613961,1479,
614048,0,613960,,1478
614049,0,613960,,1440
614050,0,,,
614051,0,,,
614052,0,613961,,
614054,0,613961,,
614056,0,,,
614060,0,,,
614061,0,613962,,1396
614062,0,,,
614066,0,,,
614069,0,,,
614070,0,613963,3523,
614071,0,613963,,1869
614073,0,613964,,1478
614074,0,,,
614075,0,613965,1619,
614076,0,613965,1479,
614078,0,613964,1660,
614081,0,613965,,1344
614084,0,,,
614086,0,613967,1479,
614088,0,613966,,
